,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
329, ,Lourdes Gurriel Jr.,0,121,453,52,132,32,1,5,52,31,83,3,4,.291
330,31,Bo Bichette,1,159,652,91,189,43,1,24,93,41,155,13,8,.290
331,32,Michael Brantley,0,64,243,28,70,14,1,5,26,31,30,1,1,.288
332,33,Bryce Harper,8,99,370,63,106,28,1,18,65,46,87,11,4,.286
333, ,Christian Arroyo,3,87,280,32,80,16,1,6,36,13,49,5,1,.286
334,35,Gio Urshela,5,144,501,61,143,27,3,13,64,41,96,1,0,.285
335, ,Alejandro Kirk,0,139,470,59,134,19,0,14,63,63,58,0,0,.285
336,37,Donovan Solano,6,80,278,22,79,16,0,4,24,19,61,0,0,.284
337, ,Luis Robert,0,98,380,54,108,18,0,12,56,17,77,11,3,.284
338, ,Julio Rodriguez,0,132,511,84,145,25,3,28,75,40,145,25,7,.284
339,40,Mike Trout,8,119,438,85,124,28,2,40,80,54,139,1,0,.283
340, ,Amed Rosario,3,153,637,86,180,26,9,11,71,25,111,18,4,.283
341, ,Jake McCarthy,0,99,321,53,91,16,3,8,43,23,76,23,3,.283
342,43,Taylor Ward,0,135,495,73,139,22,2,23,65,60,120,5,3,.281
343, ,Nico Hoerner,0,135,481,60,135,22,5,10,55,28,57,20,2,.281
344, ,Brendan Donovan,0,126,391,64,110,21,1,5,45,60,70,2,3,.281
345,46,Jose Ramirez,7,157,601,90,168,44,5,29,126,69,82,20,7,.280
346, ,Alex Verdugo,3,152,593,75,166,39,1,11,74,42,86,1,3,.280
347, ,Alec Bohm,0,152,586,79,164,24,3,13,72,31,110,2,3,.280
348,49,Justin Turner,0,128,468,61,130,36,0,13,81,50,89,3,0,.278
349, ,William Contreras,0,97,334,51,93,14,1,20,45,39,104,2,0,.278
