,,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
75,26,Nolan Arenado,7,148,557,73,163,42,1,30,103,52,72,5,3,.293
76,27,Jose Iglesias,8,118,439,48,128,30,0,3,47,17,56,2,3,.292
77, ,Starling Marte,8,118,466,76,136,24,5,16,63,26,97,18,9,.292
78,29,Carlos Correa,6,136,522,70,152,24,1,22,64,61,121,0,1,.291
79, ,Lourdes Gurriel Jr.,0,121,453,52,132,32,1,5,52,31,83,3,4,.291
80,31,Bo Bichette,1,159,652,91,189,43,1,24,93,41,155,13,8,.290
81,32,Michael Brantley,0,64,243,28,70,14,1,5,26,31,30,1,1,.288
82,33,Bryce Harper,8,99,370,63,106,28,1,18,65,46,87,11,4,.286
83, ,Christian Arroyo,3,87,280,32,80,16,1,6,36,13,49,5,1,.286
84,35,Gio Urshela,5,144,501,61,143,27,3,13,64,41,96,1,0,.285
85, ,Alejandro Kirk,0,139,470,59,134,19,0,14,63,63,58,0,0,.285
86,37,Donovan Solano,6,80,278,22,79,16,0,4,24,19,61,0,0,.284
87, ,Luis Robert,0,98,380,54,108,18,0,12,56,17,77,11,3,.284
88, ,Julio Rodriguez,0,132,511,84,145,25,3,28,75,40,145,25,7,.284
89,40,Mike Trout,8,119,438,85,124,28,2,40,80,54,139,1,0,.283
90, ,Amed Rosario,3,153,637,86,180,26,9,11,71,25,111,18,4,.283
91, ,Jake McCarthy,0,99,321,53,91,16,3,8,43,23,76,23,3,.283
92,43,Taylor Ward,0,135,495,73,139,22,2,23,65,60,120,5,3,.281
93, ,Nico Hoerner,0,135,481,60,135,22,5,10,55,28,57,20,2,.281
94, ,Brendan Donovan,0,126,391,64,110,21,1,5,45,60,70,2,3,.281
95,46,Jose Ramirez,7,157,601,90,168,44,5,29,126,69,82,20,7,.280
96, ,Alex Verdugo,3,152,593,75,166,39,1,11,74,42,86,1,3,.280
97, ,Alec Bohm,0,152,586,79,164,24,3,13,72,31,110,2,3,.280
98,49,Justin Turner,0,128,468,61,130,36,0,13,81,50,89,3,0,.278
99, ,William Contreras,0,97,334,51,93,14,1,20,45,39,104,2,0,.278
100,1,Jeff McNeil,2,148,533,73,174,39,1,9,62,40,61,4,0,.326
101,2,Freddie Freeman,10,159,612,117,199,47,2,21,100,84,102,13,3,.325
102,3,Joey Meneses,0,56,222,33,72,14,0,13,34,15,52,1,0,.324
103,4,Paul Goldschmidt,9,151,561,106,178,41,0,35,115,79,141,7,0,.317
104,5,Luis Arraez,1,144,547,88,173,31,1,8,49,50,43,4,4,.316
